transcript	description
MLOC_4105.3	Glutathione_S-transferase,_C-terminal_domain
MLOC_62365.1	WW_domain_binding_protein_11
MLOC_55867.1	Protein_of_unknown_function_(DUF1242)
MLOC_57658.1	Universal_stress_protein_family
MLOC_17893.1	(2R)-phospho-3-sulfolactate_synthase_(ComA)
MLOC_69456.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
AK368745	Sugar_(and_other)_transporter
AK248901.1	Endoplasmic_reticulum_vesicle_transporter
AK374778	SAC3/GANP/Nin1/mts3/eIF-3_p25_family
AK368718	Glycosyl_hydrolases_family_17
AK358357	Protein_of_unknown_function_(DUF620)
AK365753	SNARE_associated_Golgi_protein
AK364737	UDP-glucoronosyl_and_UDP-glucosyl_transferase
MLOC_67833.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_71922.3	PPR_repeat
MLOC_39202.1	Eukaryotic_cytochrome_b561
MLOC_61542.1	Plant_mobile_domain
AK355828	Dimerisation_domain
AK372776	Chlorophyll_A-B_binding_protein
MLOC_73927.1	Patatin-like_phospholipase
MLOC_66205.1	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_21585.1	Legume_lectin_domain
MLOC_56913.1	WD_domain,_G-beta_repeat
MLOC_43178.3	LysM_domain
MLOC_14982.1	Plant_calmodulin-binding_domain
MLOC_5991.1	Protein_tyrosine_kinase
MLOC_19058.1	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_53082.2	Protein_of_unknown_function,_DUF647
MLOC_10743.1	SAM_dependent_carboxyl_methyltransferase
MLOC_62865.1	AIG2-like_family
MLOC_3611.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_63441.1	PPR_repeat
MLOC_60158.1	Uncharacterized_ACR,_COG1678
MLOC_37021.2	Leucine_Rich_Repeat
AK375086	Core-2/I-Branching_enzyme
MLOC_57782.1	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
MLOC_56099.3	Alpha-L-arabinofuranosidase_C-terminus
MLOC_11341.2	Myb-like_DNA-binding_domain
MLOC_65827.2	AFG1-like_ATPase
MLOC_25774.1	Protein_of_unknown_function_(DUF1421)
MLOC_44891.1	Phospholipase/Carboxylesterase
MLOC_5607.1	Glycosyl_hydrolases_family_16
MLOC_57916.1	Ran_binding_protein_in_the_microtubule-organising_centre
MLOC_60842.2	Myo-inositol-1-phosphate_synthase
MLOC_43948.2	Protein_of_unknown_function_(DUF525)
MLOC_5358.1	Splicing_factor_3B_subunit_10_(SF3b10)
AK354441|MLOC_68780.1	Terpene_synthase,_N-terminal_domain
MLOC_57106.1	Ion_channel_regulatory_protein_UNC-93
MLOC_53998.2	Importin-beta_N-terminal_domain
MLOC_34445.2	C2_domain_of_PTEN_tumour-suppressor_protein
MLOC_58506.12	Auxin_responsive_protein
MLOC_63760.1	HCO3-_transporter_family
AK372622	AMP-binding_enzyme
MLOC_60699.1	Legume_lectin_domain
MLOC_50439.1	Core-2/I-Branching_enzyme
MLOC_71008.2	PPR_repeat
MLOC_3042.2	Putative_gypsy_type_transposon
MLOC_5193.1	PPR_repeat
AK253012.1	Isocitrate/isopropylmalate_dehydrogenase
AK374882	PPR_repeat
MLOC_27537.7	Smg-4/UPF3_family
AK360133	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
MLOC_53800.1	Protein_prenyltransferase_alpha_subunit_repeat
MLOC_51848.1	Tetraspanin_family
AK374560	GAGA_binding_protein-like_family
MLOC_65169.1	Histone_deacetylase_(HDAC)_interacting
AK366262	Metalloenzyme_superfamily
MLOC_11338.3	Nucleoporin_autopeptidase
MLOC_72542.1	Glycosyl_hydrolases_family_17
MLOC_12535.2	Eukaryotic_aspartyl_protease
MLOC_56128.1	Gamma_interferon_inducible_lysosomal_thiol_reductase_(GILT)
MLOC_43271.1	Violaxanthin_de-epoxidase_(VDE)
MLOC_76431.1	B3_DNA_binding_domain
MLOC_46472.1	Plant_thionin
MLOC_63336.1	MCM2/3/5_family
MLOC_71450.3	Protein_phosphatase_2C
MLOC_56615.1	Ribosomal_L15
MLOC_7537.1	BURP_domain
MLOC_30710.1	BED_zinc_finger
MLOC_34639.2	GDP-fucose_protein_O-fucosyltransferase
MLOC_6178.2	Protein_of_unknown_function_(DUF677)
MLOC_12715.1	Triose-phosphate_Transporter_family
MLOC_66946.1	Shikimate_kinase
AK358217	HNH_endonuclease
AK248363.1	Protein_of_unknown_function_(DUF1296)
AK353905	Amino_acid_permease
MLOC_13474.1	Gamma-thionin_family
MLOC_70022.3	Condensin_II_non_structural_maintenance_of_chromosomes_subunit
MLOC_16423.3	C2_domain
MLOC_81640.2	Phosphatidylinositol-4-phosphate_5-Kinase
MLOC_75604.1	Thaumatin_family
MLOC_56793.3	PPR_repeat
MLOC_65123.1	Tyrosine_phosphatase_family
MLOC_16646.2	Peroxidase
MLOC_45241.2	PPR_repeat
MLOC_60676.1	Root_hair_defective_3_GTP-binding_protein_(RHD3)
MLOC_13648.1	OTU-like_cysteine_protease
MLOC_34637.1	AWPM-19-like_family
MLOC_16115.1	Auxin_responsive_protein
MLOC_76272.1	Protein_of_unknown_function_(DUF1668)
AK360968	MatE
AK376953	Homeobox_domain
MLOC_54267.1	Plant_invertase/pectin_methylesterase_inhibitor
MLOC_29610.1	Integrase_core_domain
MLOC_2368.1	Peroxidase
MLOC_9984.5	Protein_tyrosine_kinase
MLOC_21867.4	Aldo/keto_reductase_family
MLOC_66864.1	Protein_of_unknown_function,_DUF538
MLOC_38109.1	E1-E2_ATPase
MLOC_9789.6	Region_found_in_RelA_/_SpoT_proteins
MLOC_63893.1	WAX2_C-terminal_domain
MLOC_69690.1	Poly-adenylate_binding_protein,_unique_domain
AK375453	Lipase_(class_3)
MLOC_66418.1	Protein_of_unknown_function_(DUF3339)
MLOC_43183.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_54829.2	Myb-like_DNA-binding_domain
AK365180	WD_domain,_G-beta_repeat
AK376271	EF_hand
MLOC_52303.5	GDP-fucose_protein_O-fucosyltransferase
AK362902	MutS_family_domain_IV
AK355160	Protein_of_unknown_function_(DUF1279)
MLOC_68708.1	PIG-X_/_PBN1
MLOC_59151.1	Permease_family
AK365808	Protein_kinase_domain
MLOC_59982.1	Leucine_Rich_Repeat
MLOC_77860.1	PsbP
AK366796	Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(PCMT)
MLOC_78819.1	Lipase_(class_3)
MLOC_13043.1	PPR_repeat
MLOC_81484.1	PPR_repeat
MLOC_68680.1	Translation_initiation_factor_IF-3,_N-terminal_domain
AK368044	Transferase_family
MLOC_16968.1	Protein_tyrosine_kinase
MLOC_55107.1	Xylose_isomerase-like_TIM_barrel
MLOC_36811.2	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_68718.1	Cytochrome_P450
MLOC_56718.1	DNA_replication_factor_CDT1_like
MLOC_11547.2	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
AK362753	Transferase_family
AK362799	Protein_of_unknown_function_(DUF581)
MLOC_60978.1	Chlorophyll_A-B_binding_protein
MLOC_69867.1	DnaJ_domain
AK361653	Acetyltransferase_(GNAT)_family
MLOC_61200.4	RmlD_substrate_binding_domain
MLOC_8168.1	UDP-glucoronosyl_and_UDP-glucosyl_transferase
AK251043.1	WD_domain,_G-beta_repeat
MLOC_52692.1	Cellulose_synthase
MLOC_57510.3	haloacid_dehalogenase-like_hydrolase
AK357479	Protein_of_unknown_function_(DUF579)
MLOC_54075.1	Domain_of_unknown_function_(DUF588)
MLOC_45211.1	hAT_family_dimerisation_domain
MLOC_4858.2	Protein_tyrosine_kinase
MLOC_66560.1	SNF2_family_N-terminal_domain
MLOC_62210.1	Kinesin_motor_domain
AK366252	O-methyltransferase
MLOC_70576.2	Flavin-binding_monooxygenase-like
MLOC_60445.2	alpha/beta_hydrolase_fold
MLOC_60490.6	Toprim_domain
MLOC_68567.1	NmrA-like_family
MLOC_61697.2	tRNA_pseudouridine_synthase_D_(TruD)
AK373561	Ribonuclease_(pollen_allergen)
MLOC_18466.1	YABBY_protein
AK374396	Zinc_finger,_C3HC4_type_(RING_finger)
AK252626.1	Cullin_family
AK376159	PLAC8_family
MLOC_11136.1	AMP-binding_enzyme
MLOC_68302.1	Triose-phosphate_Transporter_family
MLOC_63119.1	Mnd1_family
MLOC_34510.1	UDP-glucoronosyl_and_UDP-glucosyl_transferase
AK363359	Protein_of_unknown_function_(DUF901)
MLOC_5757.7	Cytochrome_P450
MLOC_73497.2	S1/P1_Nuclease
MLOC_13782.2	Major_Facilitator_Superfamily
AK370820	Thaumatin_family
AK367098	Frigida-like_protein
MLOC_56339.3	FBD
MLOC_59172.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_1855.2	Retroviral_aspartyl_protease
MLOC_66621.2	Calcium-binding_EGF_domain
AK356584	HNH_endonuclease
MLOC_5627.1	Transferase_family
AK252917.1	NADH_ubiquinone_oxidoreductase_subunit_NDUFA12
MLOC_36339.1	lipin,_N-terminal_conserved_region
MLOC_56208.1	Protein_of_unknown_function_(DUF740)
MLOC_11190.3	Protein_kinase_domain
MLOC_10204.1	F-box_domain
AK371071	Protein_of_unknown_function_(DUF3615)
AK364978	Xyloglucan_fucosyltransferase
MLOC_63586.3	Major_Facilitator_Superfamily
MLOC_75157.4	Glycosyl_transferase_family_4
MLOC_62842.2	Protein_of_unknown_function_(DUF620)
AK373662	Transmembrane_proteins_14C
MLOC_64347.1	AMP-binding_enzyme
MLOC_23872.1	Ribonuclease_(pollen_allergen)
AK250647.1	Histone-binding_protein_RBBP4_or_subunit_C_of_CAF1_complex
MLOC_23987.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
AK366322	Methyltransferase_domain
MLOC_38398.1	F-box_domain
MLOC_52105.1	SprT-like_family
MLOC_66652.1	Symplekin_tight_junction_protein_C_terminal
MLOC_69959.1	Pectinesterase
MLOC_59252.1	Multicopper_oxidase
MLOC_43257.1	Glutaredoxin
MLOC_68002.1	Putative_diphthamide_synthesis_protein
MLOC_64520.4	Kelch_motif
MLOC_63194.1	AUX/IAA_family
MLOC_58507.1	Auxin_responsive_protein
MLOC_53598.1	U-box_domain
MLOC_34332.1	PPR_repeat
MLOC_79952.1	PPR_repeat
MLOC_32150.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_29760.1	Endonuclease/Exonuclease/phosphatase_family
AK368174	Glycosyl_transferase_family_64_domain
MLOC_7074.2	Protein_of_unknown_function_(DUF581)
MLOC_52316.1	Homeobox_domain
MLOC_5174.1	Late_embryogenesis_abundant_protein
MLOC_81117.1	Late_embryogenesis_abundant_protein
MLOC_65408.1	Rad51
MLOC_12681.1	BAG_domain
MLOC_51379.1	Heavy-metal-associated_domain
AK251995.1	Zinc_finger,_C3HC4_type_(RING_finger)
AK253020.1	Uncharacterized_conserved_protein_(DUF2358)
MLOC_34656.10	Putative_methyltransferase
AK367180	Protein_of_unknown_function_(DUF3615)
AK367880	Glutathione_S-transferase,_N-terminal_domain
MLOC_72725.2	Seven_in_absentia_protein_family
MLOC_73385.1	Plant_mobile_domain
MLOC_15499.1	Protein_of_unknown_function,_DUF584
MLOC_61818.1	Pyruvate_kinase,_barrel_domain
MLOC_55862.2	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_9899.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
MLOC_65368.1	Auxin_responsive_protein
MLOC_15580.1	K+_potassium_transporter
MLOC_78508.1	Protein_of_unknown_function_(DUF1022)
MLOC_37050.1	ABC_transporter_transmembrane_region
AK367481	FAS1/BIgH3_domain_profile.
MLOC_60995.3	Ion_transport_protein
MLOC_12660.1	Glycosyl_hydrolases_family_28
MLOC_64771.1	OPT_oligopeptide_transporter_protein
MLOC_284.1	Sugar_(and_other)_transporter
MLOC_58886.1	2OG-Fe(II)_oxygenase_superfamily
MLOC_2725.1	Cytidylyltransferase_family
AK362888	Protein_of_unknown_function_(DUF506)
MLOC_55943.1	Protein_kinase_domain
AK250256.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
AK366321	Cleavage_site_for_pathogenic_type_III_effector_avirulence_factor_Avr
MLOC_73948.1	CRS1_/_YhbY_(CRM)_domain
AK366332	Major_Facilitator_Superfamily
MLOC_62114.2	Calmodulin_binding_protein-like
AK356513	tRNA_synthetases_class_I_(M)
MLOC_51794.1	ARD/ARD\'_family
MLOC_77428.4	ATPase_family_associated_with_various_cellular_activities_(AAA)
MLOC_9850.1	Ubiquitin_carboxyl-terminal_hydrolase
MLOC_70211.3	PPR_repeat
MLOC_6887.1	Targeting_protein_for_Xklp2_(TPX2)
MLOC_63826.1	Protein_of_unknown_function_(DUF724)
MLOC_77309.1	von_Willebrand_factor_type_A_domain
MLOC_57169.1	Methyl-CpG_binding_domain
MLOC_69621.2	No_apical_meristem_(NAM)_protein
AK355608	Sodium/calcium_exchanger_protein
AK252983.1	Plant_thionin
AK370756	alpha/beta_hydrolase_fold
MLOC_67136.1	Protein_of_unknown_function_(DUF1421)
AK371660	MBOAT_family
AK360044	Fatty_acid_desaturase
MLOC_11441.2	Protein_tyrosine_kinase
MLOC_59949.1	C2_domain
MLOC_76010.1	Transposase_family_tnp2
AK357805	Protein_of_unknown_function_(DUF1639)
MLOC_7981.1	Myb-like_DNA-binding_domain
MLOC_63743.1	No_apical_meristem_(NAM)_protein
MLOC_66048.1	Domain_of_unknown_function_(DUF296)
MLOC_3587.2	Prolyl_oligopeptidase,_N-terminal_beta-propeller_domain
MLOC_4770.3	Formin_Homology_2_Domain
MLOC_55077.1	Protein_of_unknown_function_(DUF1604)
MLOC_61440.1	WRC
AK251685.1	Protein_tyrosine_kinase
MLOC_4517.1	Glycosyl_hydrolase_family_14
MLOC_5071.2	Transmembrane_amino_acid_transporter_protein
MLOC_80800.2	short_chain_dehydrogenase
AK362176	DnaJ_domain
AK373691	TLC_domain
MLOC_62436.1	Myb-like_DNA-binding_domain
AK368921	Oxidoreductase_family,_C-terminal_alpha/beta_domain
MLOC_52926.1	Putative_methyltransferase
MLOC_67764.1	RIBOSOMAL_CHLOROPLAST_PEPTIDE_TRANSIT_PROTEIN_PRECURSOR_PLASTID_50S_RIBONUCLEOPROTEIN_CHLOROPLAST-LIKE
MLOC_43900.4	Mitochondrial_carrier_protein
AK366709	MaoC_like_domain
MLOC_60569.1	Thaumatin_family
MLOC_70632.1	Rapid_ALkalinization_Factor_(RALF)
MLOC_56537.1	Galactosyltransferase
AK251792.1	Core_histone_H2A/H2B/H3/H4
MLOC_43035.1	NB-ARC_domain
AK363437	Guanylate_kinase
AK360821	PRA1_family_protein
AK374377	SRF-type_transcription_factor_(DNA-binding_and_dimerisation_domain)
AK248611.1	Histone_chaperone_domain_CHZ
MLOC_53856.6	BTB/POZ_domain
MLOC_17981.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_5051.1	Potato_inhibitor_I_family
MLOC_2059.2	DnaJ_domain
MLOC_12413.1	Ribosomal_protein_L19
AK360110	Thiopurine_S-methyltransferase_(TPMT)
MLOC_57678.1	GDSL-like_Lipase/Acylhydrolase
MLOC_81869.1	Cytochrome_P450
AK367632	C-terminal,_D2-small_domain,_of_ClpB_protein
MLOC_72640.2	Cytochrome_P450
MLOC_18322.1	DNA_repair_metallo-beta-lactamase
MLOC_53150.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
MLOC_55175.2	Protein_tyrosine_kinase
AK249385.1	Nucleoside_diphosphate_kinase
MLOC_72368.4	bZIP_transcription_factor
MLOC_61989.1	Leucine_Rich_Repeat
MLOC_40231.1	Ribosome_inactivating_protein
MLOC_69433.1	Dirigent-like_protein
MLOC_53605.1	Cytochrome_P450
MLOC_54601.1	EamA-like_transporter_family
MLOC_72096.1	Domain_of_unknown_function
AK372516	AMP-binding_enzyme
MLOC_54528.1	PsbP
MLOC_57630.1	Zinc_finger_RING-type_profile.
AK367223|AK354527	Chlorophyll_A-B_binding_protein
MLOC_40221.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_80555.1	Uncharacterized_protein_conserved_in_bacteria_(DUF2225)
MLOC_54191.1	Exonuclease
MLOC_662.1	Exocyst_complex_subunit_Sec15-like
MLOC_13576.2	Ion_transport_protein
MLOC_44646.1	Plant_protein_of_unknown_function
AK357785	Protein_of_unknown_function_(DUF579)
MLOC_55907.2	MYND_finger
MLOC_21780.1	Cytochrome_oxidase_c_subunit_VIb
MLOC_70591.1	ZF-HD_protein_dimerisation_region
MLOC_54314.2	Protein_of_unknown_function_(DUF1685)
MLOC_65262.1	NB-ARC_domain
MLOC_25453.1	Protein_of_unknown_function_(DUF579)
AK369228	SNARE_associated_Golgi_protein
AK365090	Exostosin_family
MLOC_66594.1	Citrate_synthase
MLOC_1444.1	Fibronectin-binding_protein_A_N-terminus_(FbpA)
MLOC_67897.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
AK249496.1	WD_domain,_G-beta_repeat
MLOC_71396.1	Leucine_Rich_Repeat
MLOC_72431.1	Plant_protein_of_unknown_function
AK248829.1	Proteasome_non-ATPase_26S_subunit
MLOC_73443.2	SacI_homology_domain
MLOC_66134.2	WRKY_DNA_-binding_domain
MLOC_69574.1	Armadillo/beta-catenin-like_repeat
MLOC_52235.1	Myosin_head_(motor_domain)
MLOC_36596.3	Zinc_finger_C-x8-C-x5-C-x3-H_type_(and_similar)
MLOC_45552.1	MULE_transposase_domain
MLOC_10149.1	Di-glucose_binding_within_endoplasmic_reticulum
MLOC_39346.1	GDSL-like_Lipase/Acylhydrolase
MLOC_60245.2	Zinc-binding_dehydrogenase
MLOC_6785.1	ABC_transporter_transmembrane_region
MLOC_55361.1	Ubiquitin_family
AK371228	alpha/beta_hydrolase_fold
AK362299	CCR4-Not_complex_component,_Not1
MLOC_32042.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_5372.1	GATA_zinc_finger
MLOC_69796.1	Zinc_finger,_C3HC4_type_(RING_finger)
AK361412	Sir2_family
AK358157	Putative_peptidoglycan_binding_domain
AK249767.1	Chalcone_and_stilbene_synthases,_N-terminal_domain
MLOC_57980.1	GRAM_domain
MLOC_9956.1	FAR1_DNA-binding_domain
MLOC_50998.1	Protein_of_unknown_function_(DUF1645)
MLOC_52916.1	Vitamin-D-receptor_interacting_Mediator_subunit_17t
AK356642	Protein_of_unknown_function_(DUF3133)
AK359093	MULE_transposase_domain
MLOC_74179.1	Protein_tyrosine_kinase
MLOC_65358.1	BTB/POZ_domain
AK367045	Vps51/Vps67
MLOC_33003.1	Development_and_cell_death_domain
MLOC_71923.2	Triose-phosphate_Transporter_family
AK369153	Protein_of_unknown_function,_DUF573
MLOC_36786.1	Protein_kinase_domain
MLOC_5891.6	Protein_of_unknown_function_(DUF3755)
AK365032	Peptidase_C26
MLOC_70636.1	T-complex_protein_11
MLOC_59002.1	NB-ARC_domain
MLOC_58455.1	Protein_tyrosine_kinase
MLOC_13901.1	Protein_phosphatase_2C
AK358025	Ribosomal_protein_L35_signature
MLOC_61617.2	Lipase_(class_3)
MLOC_55911.1	Exo70_exocyst_complex_subunit
MLOC_76327.1	S4_domain
MLOC_8296.1	Pollen_allergen
MLOC_7007.3	Cytochrome_P450
MLOC_68437.1	Leucine_rich_repeat_N-terminal_domain
MLOC_58104.1	Thioredoxin
MLOC_37715.5	Putative_serine_esterase_(DUF676)
MLOC_62506.1	NB-ARC_domain
MLOC_69110.4	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_62611.2	FKBP-type_peptidyl-prolyl_cis-trans_isomerase
MLOC_75867.1	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
MLOC_65095.1	Regulator_of_Vps4_activity_in_the_MVB_pathway
MLOC_57633.1	HMG_(high_mobility_group)_box
MLOC_3350.1	Calcium-binding_EGF_domain
MLOC_61669.1	Gamma-thionin_family
AK375625	Chalcone-flavanone_isomerase
MLOC_76885.1	Cysteine-rich_secretory_protein_family
MLOC_75647.3	EamA-like_transporter_family
AK370079	AMP-binding_enzyme
MLOC_59428.1	Plant_protein_of_unknown_function
MLOC_65980.1	Primase_zinc_finger
MLOC_16535.1	Domain_of_unknown_function_(DUF1981)
MLOC_59788.6	Pyridine_nucleotide-disulphide_oxidoreductase
MLOC_13912.4	F-box_domain
MLOC_54650.4	Annexin
MLOC_10223.2	BTB/POZ_domain
MLOC_16447.1	PPR_repeat
MLOC_17192.1	Protein_of_unknown_function,_DUF623
MLOC_77427.1	Transferase_family
MLOC_64688.2	Hsp20/alpha_crystallin_family
MLOC_64280.1	Protein_kinase_domain
MLOC_31204.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_77786.1	Plant_transposon_protein
MLOC_50839.5	Shikimate_kinase
MLOC_52361.3	PPR_repeat
MLOC_74207.1	SNF2_family_N-terminal_domain
AK248928.1	Hsp70_protein
MLOC_63805.2	UDP-glucoronosyl_and_UDP-glucosyl_transferase
MLOC_55641.3	MORN_repeat
MLOC_9982.2	RWP-RK_domain
MLOC_57937.2	JmjC_domain
MLOC_3405.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_72217.2	Calcineurin-like_phosphoesterase
MLOC_77420.1	AP2_domain
MLOC_58182.2	Auxin_responsive_protein
MLOC_52815.1	Protein_kinase_domain
MLOC_17891.1	2OG-Fe(II)_oxygenase_superfamily
AK355542|AK360453	Plant_protein_of_unknown_function_(DUF827)
AK362688	WD_domain,_G-beta_repeat
MLOC_62171.1	Triose-phosphate_Transporter_family
MLOC_73876.1	Protein_of_unknown_function_(DUF3133)
MLOC_14867.2	NB-ARC_domain
MLOC_75278.2	short_chain_dehydrogenase
AK362798	Transferase_family
MLOC_58089.1	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
MLOC_43525.2	Uncharacterized_conserved_protein_(DUF2042)
MLOC_54280.3	Aminotransferase_class_I_and_II
MLOC_3713.3	Biotin/lipoate_A/B_protein_ligase_family
MLOC_8329.1	Gamma-thionin_family
MLOC_66431.2	GDP-fucose_protein_O-fucosyltransferase
MLOC_50071.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_74625.1	Protein_kinase_domain
MLOC_81178.3	Exostosin_family
MLOC_75114.1	MuDR_family_transposase
MLOC_65671.1	GDSL-like_Lipase/Acylhydrolase
MLOC_64651.2	Protein_of_unknown_function_(DUF3615)
MLOC_51936.1	PPR_repeat
MLOC_58260.1	CUE_domain
MLOC_21047.6	Poly(A)_polymerase_predicted_RNA_binding_domain
AK250552.1	Ion_channel
MLOC_12718.1	Cytochrome_B561,_N_terminal
AK369674	Armadillo/plakoglobin_ARM_repeat_profile.
MLOC_61492.1	ATP_synthase_I_chain
AK372954	Cytidylyltransferase
MLOC_10360.2	NB-ARC_domain
AK357020	Mitochondrial_carrier_protein
MLOC_36475.1	Plant_invertase/pectin_methylesterase_inhibitor
MLOC_1532.1	Protein_of_unknown_function,_DUF623
MLOC_19134.1	B3_DNA_binding_domain
MLOC_6647.2	Protein_of_unknown_function_(DUF640)
AK250495.1	F-box_domain
MLOC_45783.1	Replication_factor_A_protein_3
MLOC_57751.1	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
MLOC_11544.2	Protein_of_unknown_function_(DUF1295)
MLOC_51107.1	POT_family
MLOC_80572.1	tRNA_synthetases_class_I_(I,_L,_M_and_V)
AK367189	Glycosyl_hydrolases_family_17
MLOC_64029.1	PPR_repeat
AK370781	Predicted_membrane_protein
AK252235.1	Syntaxin
MLOC_54592.1	Glutathione_S-transferase,_C-terminal_domain
MLOC_5070.1	ABC_transporter
MLOC_60749.2	DnaJ_C_terminal_region
MLOC_50941.3	CBS_domain
AK376365	Protease_inhibitor/seed_storage/LTP_family
MLOC_77773.1	NB-ARC_domain
AK372268	DEK_C_terminal_domain
AK248741.1	Helicase_conserved_C-terminal_domain
MLOC_57622.3	Helix-loop-helix_DNA-binding_domain
MLOC_60006.1	Proteasome/cyclosome_repeat
AK375014	Eukaryotic_and_viral_aspartyl_proteases_active_site.
MLOC_66665.2	Sugar_(and_other)_transporter
MLOC_36391.1	Mlo_family
MLOC_3926.1	Myb-like_DNA-binding_domain
MLOC_61891.2	Protein_kinase_domain
AK368153	Domain_of_unknown_function_(DUF3506)
MLOC_74118.1	dUTPase
MLOC_57855.1	Permease_family
MLOC_36684.1	Leucine_rich_repeat_N-terminal_domain
MLOC_74977.5	Helix-loop-helix_DNA-binding_domain
MLOC_69987.1	AP2_domain
AK249432.1	GMC_oxidoreductase
MLOC_62500.2	B3_DNA_binding_domain
MLOC_30912.2	NB-ARC_domain
MLOC_37566.1	Glycolipid_transfer_protein_(GLTP)
MLOC_2458.1	Integrase_core_domain
MLOC_4407.1	K-box_region
AK249970.1	GTPase_of_unknown_function
MLOC_12385.3	MtN3/saliva_family
MLOC_66071.3	Calmodulin_binding_protein-like
MLOC_10858.1	WD_domain,_G-beta_repeat
AK356714|AK356323	Myb-like_DNA-binding_domain
MLOC_11780.6	K+_potassium_transporter
MLOC_14844.3	Myb-like_DNA-binding_domain
MLOC_52201.1	Protein_of_unknown_function_(DUF962)
MLOC_1068.2	PPR_repeat
MLOC_10839.4	Protein_kinase_domain
AK361824	Protein_of_unknown_function_(DUF615)
MLOC_12687.1	SMC_proteins_Flexible_Hinge_Domain
AK365199	Acyl-ACP_thioesterase
AK252472.1	OB-fold_nucleic_acid_binding_domain
MLOC_79160.1	F-box_associated
AK252164.1	Adenylate_kinase,_active_site_lid
AK364249|AK364582	Mov34/MPN/PAD-1_family
AK365452	Whirly_transcription_factor
MLOC_60073.2	Chlorophyll_A-B_binding_protein
MLOC_1587.2	Melibiase
AK248432.1	Actin
MLOC_6152.2	Plant_protein_of_unknown_function_(DUF827)
MLOC_62866.1	Uncharacterized_conserved_domain_(SAYSvFN)
MLOC_66662.1	Myb-like_DNA-binding_domain
AK252344.1	Protein_of_unknown_function_(DUF789)
MLOC_52114.5	Myb-like_DNA-binding_domain
AK354661	WW_domain
MLOC_4215.8	TBC_domain
MLOC_57521.1	Protein_of_unknown_function_(DUF3611)
AK357446	Uncharacterized_protein_family_UPF0016
MLOC_75094.1	Armadillo/beta-catenin-like_repeat
MLOC_76376.1	Glycosyl_transferase_family_64_domain
MLOC_56007.1	Eukaryotic_aspartyl_protease
MLOC_58820.1	Galactosyltransferase
MLOC_4585.2	C2_domain
MLOC_5536.8	Lipase_(class_3)
MLOC_8550.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_54853.1	Leucine_Rich_Repeat
MLOC_38009.6	Protein_kinase_domain
AK370745	B-block_binding_subunit_of_TFIIIC
MLOC_76462.1	Zinc_finger,_C3HC4_type_(RING_finger)
AK251942.1	Probable_molybdopterin_binding_domain
MLOC_57684.2	Myb-like_DNA-binding_domain
MLOC_76604.1	Protein_kinase_domain
MLOC_80849.1	Glycosyl_hydrolases_family_17
AK252636.1	Protein_of_unknown_function_(DUF1138)
AK248667.1	Cytochrome_P450
MLOC_12713.1	Plant_protein_of_unknown_function_(DUF946)
MLOC_10030.4	Myb-like_DNA-binding_domain
MLOC_8151.2	CBS_domain
AK249394.1	XPG_N-terminal_domain
MLOC_69286.2	mTERF
MLOC_12843.2	Chlorophyll_A-B_binding_protein
MLOC_62554.2	AP2_domain
MLOC_62165.1	NmrA-like_family
MLOC_71540.1	Enoyl-CoA_hydratase/isomerase_family
AK249013.1	Inositol_monophosphatase_family
MLOC_75995.1	Leucine_Rich_Repeat
AK252298.1	SCP-2_sterol_transfer_family
AK248684.1	Noc2p_family
